Location,Area,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bribie Island,South,0,0,0,0,1,2,1,1,1,3,1
Bundaberg,Central,76,57,45,52,54,53,58,55,73,64,16
Capricorn Coast,Central,116,66,71,54,41,43,38,50,144,178,111
Gladstone,Central,59,50,46,52,45,36,42,29,34,47,25
Gold Coast,South,34,36,47,46,59,49,60,85,84,69,27
Nth Stradbroke Is.,South,16,8,22,10,13,23,15,14,24,16,2
Rainbow Beach,South,76,44,57,36,34,31,34,34,49,43,12
Sunshine Coast,South,43,43,70,51,54,91,69,67,88,84,62
Townsville,North,107,101,139,112,107,113,82,130,150,127,58
Cairns,North,74,71,116,51,47,43,43,62,58,60,19
Mackay,North,84,110,82,66,55,40,44,68,93,61,25